"Start_Date","Plot_ID","Species","Scientific_Name","Count","Cover_pct","Cover_Class","Visit_Year"
2010-10-03,34,"ACHY","Achnatherum hymenoides",1,0,1,2010
2010-10-03,34,"EPVI","Ephedra viridis",15,5,1,2010
2010-10-03,34,"KRLA","Krascheninnikovia lanata",16,5,1,2010
2010-10-03,34,"OPUNT","Opuntia",1,0,1,2010
2010-10-03,34,"PLJA","Pleuraphis jamesii",2,1,1,2010
2010-10-03,34,"SATR12","Salsola tragus",1,0,1,2010
2010-10-03,34,"SPCR","Sporobolus cryptandrus",1,0,1,2010
2011-04-13,34,"ACHY","Achnatherum hymenoides",3,1,1,2011
2011-04-13,34,"BRTE","Bromus tectorum",24,8,2,2011
2011-04-13,34,"CHER2","Chaetopappa ericoides",8,3,1,2011
2011-04-13,34,"EPVI","Ephedra viridis",21,7,2,2011
2011-04-13,34,"KRLA","Krascheninnikovia lanata",12,4,1,2011
2011-04-13,34,"MACA","Machaeranthera canescens",1,0,1,2011
2011-04-13,34,"PLJA","Pleuraphis jamesii",2,1,1,2011
2011-04-13,34,"VUOC","Vulpia octoflora",1,0,1,2011
2017-04-10,34,"ACHY","Achnatherum hymenoides",7,2,1,2017
2017-04-10,34,"BRTE","Bromus tectorum",93,31,3,2017
2017-04-10,34,"CYNE","Cymopterus newberryi",1,0,1,2017
2017-04-10,34,"DEPI","Descurainia pinnata",1,0,1,2017
2017-04-10,34,"EPVI","Ephedra viridis",4,1,1,2017
2017-04-10,34,"KRLA","Krascheninnikovia lanata",22,7,2,2017
2017-04-10,34,"PLJA","Pleuraphis jamesii",4,1,1,2017
2017-04-10,34,"PLPA2","Plantago patagonica",9,3,1,2017
2017-04-10,34,"VUOC","Vulpia octoflora",8,3,1,2017
2018-04-09,34,"ACHY","Achnatherum hymenoides",2,1,1,2018
2018-04-09,34,"BRTE","Bromus tectorum",17,6,2,2018
2018-04-09,34,"EPVI","Ephedra viridis",1,0,1,2018
2018-04-09,34,"KRLA","Krascheninnikovia lanata",22,7,2,2018
2018-04-09,34,"OPUNT","Opuntia",1,0,1,2018
2018-04-09,34,"PLJA","Pleuraphis jamesii",2,1,1,2018
2011-04-30,38,"ACHY","Achnatherum hymenoides",2,1,1,2011
2011-04-30,38,"BRTE","Bromus tectorum",13,4,1,2011
2011-04-30,38,"DEAN","Delphinium andersonii",1,0,1,2011
2011-04-30,38,"DEIN5","Descurainia incana",1,0,1,2011
2011-04-30,38,"KRLA","Krascheninnikovia lanata",29,10,2,2011
2011-04-30,38,"PLJA","Pleuraphis jamesii",3,1,1,2011
2011-04-30,38,"PLPA2","Plantago patagonica",11,4,1,2011
2011-04-30,38,"SPCR","Sporobolus cryptandrus",1,0,1,2011
2011-04-30,38,"VUOC","Vulpia octoflora",7,2,1,2011
2012-04-14,38,"ACHY","Achnatherum hymenoides",1,0,1,2012
2012-04-14,38,"BRTE","Bromus tectorum",1,0,1,2012
2012-04-14,38,"KRLA","Krascheninnikovia lanata",38,13,2,2012
2012-04-14,38,"PLJA","Pleuraphis jamesii",4,1,1,2012
2012-04-14,38,"PLPA2","Plantago patagonica",1,0,1,2012
2012-04-14,38,"SPCR","Sporobolus cryptandrus",12,4,1,2012
2012-04-14,38,"VUOC","Vulpia octoflora",2,1,1,2012
2018-04-09,38,"BRTE","Bromus tectorum",6,2,1,2018
2018-04-09,38,"DEAN","Delphinium andersonii",1,0,1,2018
2018-04-09,38,"KRLA","Krascheninnikovia lanata",19,6,2,2018
2018-04-09,38,"PLJA","Pleuraphis jamesii",1,0,1,2018
2019-04-18,38,"BRTE","Bromus tectorum",55,18,2,2019
2019-04-18,38,"CRCR3","Cryptantha crassisepala",2,1,1,2019
2019-04-18,38,"DEAN","Delphinium andersonii",1,0,1,2019
2019-04-18,38,"DESCU","Descurainia",1,0,1,2019
2019-04-18,38,"KRLA","Krascheninnikovia lanata",25,8,2,2019
2019-04-18,38,"PLPA2","Plantago patagonica",3,1,1,2019
2019-04-18,38,"VUOC","Vulpia octoflora",14,5,1,2019
2012-04-12,56,"ACHY","Achnatherum hymenoides",12,4,1,2012
2012-04-12,56,"BRTE","Bromus tectorum",7,2,1,2012
2012-04-12,56,"EPVI","Ephedra viridis",29,10,2,2012
2012-04-12,56,"KRLA","Krascheninnikovia lanata",5,2,1,2012
2012-04-12,56,"PLPA2","Plantago patagonica",3,1,1,2012
2012-04-12,56,"SPCR","Sporobolus cryptandrus",28,9,2,2012
2019-04-17,56,"ACHY","Achnatherum hymenoides",1,0,1,2019
2019-04-17,56,"BRTE","Bromus tectorum",100,33,3,2019
2019-04-17,56,"CRCR3","Cryptantha crassisepala",1,0,1,2019
2019-04-17,56,"EPVI","Ephedra viridis",3,1,1,2019
2019-04-17,56,"KRLA","Krascheninnikovia lanata",4,1,1,2019
2019-04-17,56,"PLPA2","Plantago patagonica",4,1,1,2019
2019-04-17,56,"STIPA","Stipa",1,0,1,2019
2019-04-17,56,"VUOC","Vulpia octoflora",3,1,1,2019
2014-04-11,88,"BRTE","Bromus tectorum",2,1,1,2014
2014-04-11,88,"CRCR3","Cryptantha crassisepala",9,3,1,2014
2014-04-11,88,"DEIN5","Descurainia incana",2,1,1,2014
2014-04-11,88,"KRLA","Krascheninnikovia lanata",24,8,2,2014
2014-04-11,88,"OPUNT","Opuntia",2,1,1,2014
2014-04-11,88,"PLJA","Pleuraphis jamesii",1,0,1,2014
2014-04-11,88,"PLPA2","Plantago patagonica",15,5,1,2014
2014-04-11,88,"SPCR","Sporobolus cryptandrus",1,0,1,2014
2014-04-11,88,"VUOC","Vulpia octoflora",39,13,2,2014
2015-04-06,88,"ACHY","Achnatherum hymenoides",1,0,1,2015
2015-04-06,88,"BRTE","Bromus tectorum",7,2,1,2015
2015-04-06,88,"CRCR3","Cryptantha crassisepala",7,2,1,2015
2015-04-06,88,"KRLA","Krascheninnikovia lanata",27,9,2,2015
2015-04-06,88,"PLJA","Pleuraphis jamesii",1,0,1,2015
2015-04-06,88,"PLPA2","Plantago patagonica",50,17,2,2015
2015-04-06,88,"SPCR","Sporobolus cryptandrus",7,2,1,2015
2015-04-06,88,"STIPA","Stipa",4,1,1,2015
2015-04-06,88,"VUOC","Vulpia octoflora",19,6,2,2015
2021-04-14,88,"KRLA","Krascheninnikovia lanata",20,7,2,2021
2022-04-15,88,"BRTE","Bromus tectorum",29,10,2,2022
2022-04-15,88,"CRCR3","Cryptantha crassisepala",4,1,1,2022
2022-04-15,88,"KRLA","Krascheninnikovia lanata",19,6,2,2022
2022-04-15,88,"PLPA2","Plantago patagonica",10,3,1,2022
2022-04-15,88,"SATR12","Salsola tragus",15,5,1,2022
2022-04-15,88,"VUOC","Vulpia octoflora",11,4,1,2022
2014-04-14,91,"ARFI2","Artemisia filifolia",1,0,1,2014
2014-04-14,91,"BRTE","Bromus tectorum",19,6,2,2014
2014-04-14,91,"CRCR3","Cryptantha crassisepala",3,1,1,2014
2014-04-14,91,"KRLA","Krascheninnikovia lanata",6,2,1,2014
2014-04-14,91,"PLJA","Pleuraphis jamesii",3,1,1,2014
2014-04-14,91,"PLPA2","Plantago patagonica",1,0,1,2014
2014-04-14,91,"SPCR","Sporobolus cryptandrus",2,1,1,2014
2014-04-14,91,"VUOC","Vulpia octoflora",51,17,2,2014
2015-04-14,91,"ACHY","Achnatherum hymenoides",2,1,1,2015
2015-04-14,91,"ARFI2","Artemisia filifolia",1,0,1,2015
2015-04-14,91,"BRTE","Bromus tectorum",4,1,1,2015
2015-04-14,91,"CRCR3","Cryptantha crassisepala",2,1,1,2015
2015-04-14,91,"KRLA","Krascheninnikovia lanata",3,1,1,2015
2015-04-14,91,"PLJA","Pleuraphis jamesii",6,2,1,2015
2015-04-14,91,"PLPA2","Plantago patagonica",42,14,2,2015
2015-04-14,91,"SPCR","Sporobolus cryptandrus",2,1,1,2015
2015-04-14,91,"VUOC","Vulpia octoflora",9,3,1,2015
2021-04-04,91,"ACHY","Achnatherum hymenoides",1,0,1,2021
2021-04-04,91,"ARFI2","Artemisia filifolia",3,1,1,2021
2021-04-04,91,"BRTE","Bromus tectorum",2,1,1,2021
2021-04-04,91,"KRLA","Krascheninnikovia lanata",1,0,1,2021
2021-04-04,91,"PLJA","Pleuraphis jamesii",1,0,1,2021
2021-04-04,91,"SPCR","Sporobolus cryptandrus",1,0,1,2021
2022-04-05,91,"ACHY","Achnatherum hymenoides",4,1,1,2022
2022-04-05,91,"ARFI2","Artemisia filifolia",4,1,1,2022
2022-04-05,91,"BRTE","Bromus tectorum",69,23,2,2022
2022-04-05,91,"CRCR3","Cryptantha crassisepala",1,0,1,2022
2022-04-05,91,"KRLA","Krascheninnikovia lanata",2,1,1,2022
2022-04-05,91,"OEPA","Oenothera pallida",3,1,1,2022
2022-04-05,91,"PLJA","Pleuraphis jamesii",1,0,1,2022
2022-04-05,91,"PLPA2","Plantago patagonica",2,1,1,2022
2022-04-05,91,"SATR12","Salsola tragus",7,2,1,2022
2022-04-05,91,"SPPA2","Sphaeralcea parvifolia",2,1,1,2022
2022-04-05,91,"VUOC","Vulpia octoflora",14,5,1,2022
2014-04-13,92,"ATCA2","Atriplex canescens",1,0,1,2014
2014-04-13,92,"BRTE","Bromus tectorum",43,14,2,2014
2014-04-13,92,"ERTR13","Eremopyrum triticeum",2,1,1,2014
2014-04-13,92,"SATR12","Salsola tragus",49,16,2,2014
2015-04-06,92,"ATCA2","Atriplex canescens",3,1,1,2015
2015-04-06,92,"BRTE","Bromus tectorum",40,13,2,2015
2015-04-06,92,"ERTR13","Eremopyrum triticeum",4,1,1,2015
2015-04-06,92,"SATR12","Salsola tragus",13,4,1,2015
2015-04-06,92,"SPPA2","Sphaeralcea parvifolia",1,0,1,2015
2021-03-31,92,"ATCA2","Atriplex canescens",1,0,1,2021
2022-04-14,92,"ATCA2","Atriplex canescens",1,0,1,2022
2022-04-14,92,"BRTE","Bromus tectorum",24,8,2,2022
2022-04-14,92,"ERTR13","Eremopyrum triticeum",51,17,2,2022
2022-04-14,92,"LAOC","Lappula occidentalis",6,2,1,2022
2022-04-14,92,"MAAF","Malcolmia africana",5,2,1,2022
2022-04-14,92,"OEPA","Oenothera pallida",1,0,1,2022
2022-04-14,92,"SATR12","Salsola tragus",12,4,1,2022
